Persimmon,pc,
Philly Cheesesteak,serv,
Pho,serv,
Phyllo pastry,pc,
Pickles,serv,
Pierogi,pc,
Pie,slice,
Pineapple,serv,
Pistachios,serv,
Pita bread,pc,
Pizza,slice,
Plum,pc,
Polenta,serv,
Pomegranate,pc,
Pomelo,serv,
Popcorn,serv,
Popsicle,pc,
Pork,serv,
Pork chops,serv,
Porridge,serv,
Pot pie,serv,
Pot roast,serv,
Potato salad,serv,
Potatoes,serv,
Prawns,serv,
Pretzels,serv,
Prunes,pc,
Pudding,serv,
Pumpkin,serv,
Pumpkin pie,slice,
Pumpkin seeds,serv,
Quail,serv,
Quail eggs,pc,
Quesadilla,pc,mexican
Queso dip,tbsp,
Quiche,slice,
Quince,slice,
Quinoa,serv,
Quinoa salad,serv,
Rabbit,serv,
Rack of lamb,serv,
Radicchio,serv,
Radishes,serv,
Raisins,serv,
Ramen,serv,
Raspberries,serv,
Ratatouille,serv,
Ravioli,serv,
Rhubarb,serv,
Ribeye steak,serv,
Ribs,serv,
Rice,serv,
Rice cake,pc,
Rice milk,cup,
Ricotta ,serv,
Risotto,serv,
Roast beef,serv,
Rock candy,pc,
Rockmelon,serv,
Salad,serv,
Salami,slice,
Salmon,serv,
Samosas,pc,
Sandwich,pc,
Sardines,serv,
Sashimi,pc,
Sausage,pc,
Scallions,serv,
Scallops,serv,
Schnitzel,pc,
Scones,pc,
Scrambled eggs,serv,
Seaweed,serv,
Sesame seeds,serv,
Shallots,serv,
Shish kebab,serv,
Shrimp,serv,
Sliders,pc,
Smoothie bowl,serv,
Snack,pc,
Snickerdoodles,pc,
Soft cheese,serv,
Soft-boiled egg,pc,
Sorbet,cup,
Soup,serv,
Sour cream,tbsp,
Soy milk,cup,
Soybeans,serv,
Spaghetti,serv,
Spareribs,serv,
Spinach,serv,
Sponge cake,slice,
Spring Rolls,serv,
Squash,serv,
Squid,serv,
Steak,serv,
Stew,serv,
Strawberries,serv,
String cheese,pc,
Strudel,pc,
Sugar apple,pc,
Sundae,cup,
Sunflower seeds,serv,
Surimi,pc,
Sushi,pc,
Sweet potatoes,serv,
Swiss roll,slice,
T bone steak,serv,
Tabbouleh,serv,
Tacos,pc,mexican
Tamales,pc,mexican
Tamarillo,pc,
Tangelo,pc,
Tangerine,pc,
Tapas,serv,
Tapioca,serv,mexican
Tart,slice,
Tartare,serv,
Tartlets,pc,
Tater tots,serv,
Tempeh,serv,
Tempura,serv,
Tenderloin,serv,
Teriyaki,serv,
Tiger prawns,serv,
Tiger shrimp,serv,
Tikka Masala,serv,
Tiramisu,serv,
Toast,pc,
Toaster pastry,pc,
Toffee,pc,
Tofu,serv,
Tomato,pc,
Tomato soup,serv,
Torta Ahogada,pc,mexican
Tortilla,pc,mexican
Tostadas,serv,mexican
Tostones,serv,
Trail mix,serv,
Tri-tip steak,serv,
Trifle,serv,
Trout,serv,
Truffle,pc,
Tuna,serv,
Tuna salad,serv,
Turkey,serv,
Turkey steak,serv,
Turkish delight,pc,
Turnips,serv,
Twizzlers,pc,
Udon soup,serv,
Veal,serv,
Veal parmesan,serv,
Vegan brownies,pc,
Vegan cracker,pc,
Vegan protein bars,pc,
Vegetable lasagna,serv,
Vegetables,serv,
Veggie burger,pc,
Veggie chips,serv,
Velvet cake,slice,
Wafer,pc,
Waffle,pc,
Wakame,serv,
Waldorf salad,serv,
Walnut pie,slice,
Walnuts,serv,
Watercress,serv,
Watermelon,slice,
Whey protein powder,serv,
Whipped cream,tbsp,
White chocolate,pc,
Worcestershire sauce,tbsp,
Yaki Onigiri,serv,
Yaki Soba,serv,
Yaki Udon,serv,
Yakitori,serv,
Yams,serv,
Yams chips,serv,
Yogurt,cup,
Yolkies,serv,
Yorkshire pudding,serv,
Yoyos,pc,
Yucatan pork,serv,
Yule log cake,slice,
Zingers,pc,
Zucchini,serv,
Zuppa Inglese,serv,
Zuppa Toscana,serv,
